time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-05-05 09:30:00-04:00,MLTrader,418ef6e0e7014c3bb19f279b5b40e90e,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-05 09:30:00-04:00,MLTrader,418ef6e0e7014c3bb19f279b5b40e90e,AAPL,buy,market,fill,1,gtc,0.0,1,stock,170.97999572753906,292.0,0.0
2023-11-03 09:30:00-04:00,MLTrader,00eaa6aa8a6141a2a3dbcbb2a1f60e06,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-03 09:30:00-04:00,MLTrader,00eaa6aa8a6141a2a3dbcbb2a1f60e06,AAPL,buy,market,fill,1,gtc,0.0,1,stock,174.24000549316406,144.0,0.0
2024-04-19 09:30:00-04:00,MLTrader,7ffef9c521b74edbb0197db9f8a2ca8e,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-19 09:30:00-04:00,MLTrader,05aa99393f4543dda3f0f0f1353b9439,AAPL,sell,stop,fill,1,day,0.0,1,stock,165.52800521850585,144.0,0.0
