time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-16 09:30:00-05:00,MLTrader,2e75ef2f2eb04b5d81deef0a098d263b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,28f1ff26647c427ba4c0662b6541596d,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,b0107c2e64e04506a244c55d276bc0fb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,28f1ff26647c427ba4c0662b6541596d,SPY,buy,market,fill,1,day,0.0,1,stock,449.2200012207031,70.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,b0107c2e64e04506a244c55d276bc0fb,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,10.0,0.0
2023-11-22 09:30:00-05:00,MLTrader,c98fd00afb644d49b505f1c96e0b033c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-22 09:30:00-05:00,MLTrader,c98fd00afb644d49b505f1c96e0b033c,SPY,buy,market,fill,1,gtc,0.0,1,stock,454.9800109863281,10.0,0.0
2023-11-27 09:30:00-05:00,MLTrader,75e05103a3cd4a399b243317ecd25c55,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,21f03cf832654375bc282f1a00771689,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,55e29a279a6d425b91181f5a28493d0d,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,7bf743d5423948cebd11ea917c573926,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,189b13183fd4412ca6fa73cf4fd57903,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,4677a2192b344c6dab34c85effe2f267,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,189b13183fd4412ca6fa73cf4fd57903,SPY,sell,market,fill,1,day,0.0,1,stock,454.6499938964844,20.0,0.0
2023-11-27 09:30:00-05:00,MLTrader,4677a2192b344c6dab34c85effe2f267,SPY,sell,market,fill,1,gtc,0.0,1,stock,454.6499938964844,10.0,0.0
2023-12-22 09:30:00-05:00,MLTrader,9864fa4bebe543858c4c66078ff77af6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:30:00-05:00,MLTrader,9864fa4bebe543858c4c66078ff77af6,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,10.0,0.0
2023-12-28 09:30:00-05:00,MLTrader,083406d5b63648b7b0f7ff217d059d83,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-28 09:30:00-05:00,MLTrader,92cadc041a294d078135072f3db568ad,SPY,buy,stop,fill,1,day,0.0,1,stock,477.3824935913086,10.0,0.0
