2024-06-06 18:09:54,373: asyncio: INFO: [MLTrader] Executing the initialize lifecycle method
2024-06-06 18:09:54,881: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-06-06 18:09:54,883: asyncio: INFO: [MLTrader] Executing the before_market_opens lifecycle method
2024-06-06 18:09:54,883: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-06-06 18:09:54,883: asyncio: INFO: [MLTrader] Executing the before_starting_trading lifecycle method
2024-06-06 18:09:54,884: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-06-06 18:09:54[0m
2024-06-06 18:09:54,884: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-06 18:09:55,331: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-06 18:09:56,606: asyncio: INFO: [MLTrader] [32mNew order was created: market order of | 10 SPY buy | at price $563.3879882812499 of class bracket with status new[0m
2024-06-06 18:09:56,608: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-06-06 18:09:56[0m
2024-06-06 18:09:56,608: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-06-06 18:09:56,608: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-06 18:09:56,609: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-06 18:09:56,609: root: INFO: market order of | 10 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-06-06 18:09:56,609: root: INFO: market order of | 10 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-06-06 18:09:56,609: asyncio: INFO: [MLTrader] [32mOrder was filled: market order of | 10 SPY buy | at price $469.49 of class bracket with status fill[0m
2024-06-06 18:09:56,611: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-06-06 18:09:56,612: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-06-06 18:09:56,612: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-06-06 18:09:56,613: asyncio: INFO: [MLTrader] [34mThe market is not currently open, skipping this trading iteration[0m
2024-06-06 18:09:56,613: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-06-06 18:09:56,613: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-06 18:09:56,613: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-06 18:09:56,613: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-06-06 18:09:56,613: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-06-06 18:09:56,613: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
