time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-05-05 09:30:00-04:00,MLTrader,126203a83f644c88ada52338b9ecb557,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-05 09:30:00-04:00,MLTrader,126203a83f644c88ada52338b9ecb557,AAPL,buy,market,fill,1,gtc,0.0,1,stock,170.97999572753906,10.0,0.0
2023-11-03 09:30:00-04:00,MLTrader,b19db7ad2832471d9f45f936dd99a8ad,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-03 09:30:00-04:00,MLTrader,b19db7ad2832471d9f45f936dd99a8ad,AAPL,buy,market,fill,1,gtc,0.0,1,stock,174.24000549316406,10.0,0.0
