time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-05-25 09:30:00-04:00,MLTrader,49ed574544f94b328e4efb7d1b1275bb,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-25 09:30:00-04:00,MLTrader,49ed574544f94b328e4efb7d1b1275bb,NVDA,buy,market,fill,1,gtc,0.0,1,stock,385.2300109863281,10.0,0.0
2023-07-14 09:30:00-04:00,MLTrader,c1c7f2b898b14f72b74bf6337b4c87fc,NVDA,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-07-14 09:30:00-04:00,MLTrader,f0a7f8a07e6e4d8bacde6b8c445cb126,NVDA,sell,limit,fill,1,day,0.0,1,stock,465.8299865722656,10.0,0.0
2024-02-23 09:30:00-05:00,MLTrader,69479205f2bd421d80327a71f5f757a3,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-23 09:30:00-05:00,MLTrader,69479205f2bd421d80327a71f5f757a3,NVDA,buy,market,fill,1,gtc,0.0,1,stock,807.9000244140625,10.0,0.0
2024-03-08 09:30:00-05:00,MLTrader,325afbae065840e69ea174e30557c20d,NVDA,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-03-08 09:30:00-05:00,MLTrader,8ddb9f47ca7f4570be37d2b0f249ddb0,NVDA,sell,limit,fill,1,day,0.0,1,stock,969.4800292968749,10.0,0.0
2024-03-19 09:30:00-04:00,MLTrader,3e009038a1d741ee812b2ee6ac8f3eca,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-19 09:30:00-04:00,MLTrader,3e009038a1d741ee812b2ee6ac8f3eca,NVDA,buy,market,fill,1,gtc,0.0,1,stock,867.0,10.0,0.0
2024-04-19 09:30:00-04:00,MLTrader,accbd158560247d68e791b3845d491d2,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-19 09:30:00-04:00,MLTrader,19d35b9196e743e5ad643501b5339c69,NVDA,sell,stop,fill,1,day,0.0,1,stock,823.65,10.0,0.0
