datetime,portfolio_value,cash,return
2023-01-03 09:30:00-05:00,100000.0,100000.0,
2023-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-12 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-19 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-20 09:30:00-05:00,99992.59979248047,103893.59985351562,-7.400207519536739e-05
2023-01-21 09:30:00-05:00,99992.59979248047,103893.59985351562,0.0
2023-01-23 09:30:00-05:00,99926.3998413086,103893.59985351562,-0.0006620485046819891
2023-01-24 09:30:00-05:00,99904.7998046875,103893.59985351562,-0.00021615945991648733
2023-01-25 09:30:00-05:00,99934.09973144531,103893.59985351562,0.0002932784692537549
2023-01-26 09:30:00-05:00,99862.2998046875,103893.59985351562,-0.000718472743045262
2023-01-27 09:30:00-05:00,99856.99981689453,103893.59985351562,-5.307295949852353e-05
2023-01-28 09:30:00-05:00,99856.99981689453,103893.59985351562,0.0
2023-01-30 09:30:00-05:00,99865.59997558594,103893.59985351562,8.612474545777182e-05
2023-01-31 09:30:00-05:00,99882.2998046875,103893.59985351562,0.000167223038820552
2023-02-01 09:30:00-05:00,99841.49993896484,103893.59985351562,-0.0004084794383232282
2023-02-02 09:30:00-05:00,99805.32000732422,99805.32000732422,-0.0003623736789084564
2023-02-03 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-04 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-06 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-07 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-08 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-09 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-10 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-11 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-13 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-14 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-15 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-16 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-17 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-18 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-21 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-22 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-23 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-24 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-25 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-27 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
2023-02-28 09:30:00-05:00,99805.32000732422,99805.32000732422,0.0
